id,name,location,city,amenities,ratings,places_nearby,restaurants_cafes_nearby,airports_nearby
1,Djerba Reve Vacances Emna EL Beya,"Midoun, 4116 Midoun, Tunisie",Midoun,Connexion Wi-Fi gratuite/ Chambres familiales/ Parking gratuit/ Petit-dejeuner,8.48,Djerba Explore Park7km,"RestaurantDelice Resto1,5km/ RestaurantRestaurant Port Aghir4,9km/ RestaurantRestaurant Sidi Ali Adel6km",
2,Menzel Caja,"Zone d'Aghir - Route du Club Med - a cote cafe Esmar, 4176 Aghir, Tunisie",Aghir,Piscine exterieure/ Spa et centre de bien-etre/ Navette aeroport/ Chambres non-fumeurs/ Parking gratuit/ Connexion Wi-Fi gratuite/ equipments pour les personnes handicapees /En bord de plage/ Bar/ Petit-dejeuner/ fabuleux,9.39,,,
3,Dar Baaziz primal,"Sousse Medina, Medina de Sousse, 4031 Sousse, Tunisie",Sousse,Connexion Wi-Fi gratuite/ Parking gratuit/ Plateau/bouilloire dans tous les hebergements /Petit-dejeuner,8.48,Sousse Archaeological Museum450m,RestaurantAlbatros750m/ RestaurantLido750m/ RestaurantPeuple800m,"TrainSousse Bab Djedid450m/ TrainSousse Centre1,3km"
4,Dar Fatma Toujane,"Auberge ben ahmed toujane, 6045 Toujane, Tunisie",Toujane,Chambres non-fumeurs/ Parking gratuit/ Chambres familiales/ Tras bon Petit-dejeuner,9.39,,,
5,Tataouineranch,"WFW9+737, Tataouine 3234, Tunisie",Tataouine,Chambres non-fumeurs/ Parking gratuit/ Connexion Wi-Fi gratuite/ Chambres familiales/ Petit-dejeuner,8.68,,,
6,Maison D'hote Dar Saida,"Rue Ben Alaya, 7100 El Kef, Tunisie",El Kef,Chambres non-fumeurs/ Connexion Wi-Fi gratuite/ Parking gratuit/ Chambres familiales/ Bar/ Superbe Petit-dejeuner,8.48,Cafe / barCafe Dinar150m,TrainZaafrane12km,
7,Dar Marsa Cubes,Rue Mondher Ben AMMAR 2070 la MARSA Tunisie,La Marsa,Piscine exterieure/ Connexion Wi-Fi gratuite/ Parking gratuit/ Navette aeroport/ Chambres non-fumeurs/ Service d'etage/ Chambres familiales/ Tras bon Petit-dejeuner,8.68,,,
8,Dar Corniche La Marsa (Adults Only),"3,rue Abou Tammam Corniche la Marsa, 2078 La Marsa, Tunisie",La Marsa,Piscine exterieure/ Connexion Wi-Fi gratuite/ Parking gratuit/ En bord de plage/ Chambres non-fumeurs/ Service d'etage/ Plateau/bouilloire dans tous les hebergements /Petit-dejeuner/ exceptionnel,9.69,,Dar Ben Abdallah Museum19km/ Dar Lasram Museum19km,TrainLa Corniche450m/ TrainLa Marsa Plage700m
9,Dar kenza Tunis,"14 rue tourbet el bey, Medina, 1006 Tunis, Tunisie",Tunis,Connexion Wi-Fi gratuite/ Chambres familiales/ Restaurant/ Chambres non-fumeurs/ Service d'etage/ Superbe Petit-dejeuner,8.48,,,
10,Dar Nael,"Djerbahood, 4146 Houmt Souk, Tunisie",Houmt El Souk,Piscine exterieure/ Connexion Wi-Fi gratuite/ Parking gratuit/ Navette aeroport/ Chambres non-fumeurs/ Chambres familiales/ Petit-dejeuner,9.69,,,
11,Dar Al Makam - Luxury Experience,"11 rue barcelone, residence joumaira, soliman, 8020, 8020 Soliman, Tunisie",Sulayman,Piscine exterieure/ Connexion Wi-Fi gratuite/ Parking gratuit/ Navette aeroport/ Chambres non-fumeurs/ Restaurant/ Plateau/bouilloire dans tous les hebergements /Bar/ Plage privee/ Petit-dejeuner,9.39,,,
12,Dar Ben Gacem,"38 Rue du Pacha, Medina, 1006 Tunis, Tunisie",Tunis,Connexion Wi-Fi gratuite/ Navette aeroport/ Chambres familiales/ Restaurant/ Chambres non-fumeurs/ Reception ouverte 24h/24/ Service d'etage/ Superbe Petit-dejeuner,9.29,,,
13,Dar Ayed Tamezret,"Route Nationale 20 Matmata -Douz  Tamezret, Qabis, 4057 Tamezret, Tunisie",Tamezret,Piscine exterieure/ Navette aeroport/ Chambres non-fumeurs/ Connexion Wi-Fi gratuite/ Parking gratuit/ Service d'etage/ Restaurant/ Chambres familiales/ Bar/ Tras bon Petit-dejeuner,9.39,,,
14,Dar Lilia Monastir,"Sabat Amira, le Rbat, Monastir 5000, Tunisie",Monastir,Connexion Wi-Fi gratuite/ Parking gratuit/ Chambres familiales/ Navette aeroport/ Chambres non-fumeurs/ Plateau/bouilloire dans tous les hebergements,8.38,Plage La Falaise650m,,Aeroport international de Monastir Habib-Bourguiba9km/ Aeroport international d'Enfidha-Hammamet55km
15,"The 18, Marsa Guest House","18 Rue de l'Amerique, 2078 La Marsa, Tunisie",La Marsa,Connexion Wi-Fi gratuite/ Chambres non-fumeurs/ Chambres familiales/ Plateau/bouilloire dans tous les hebergements,8.98,,,
16,Residence Le Ruisseau,"Avenue Farhat Hached, 2200 Tozeur, Tunisie",Tozeur,Parking prive/ Connexion Wi-Fi gratuite/ Chambres familiales/ Restaurant/ Navette aeroport/ Chambres non-fumeurs/ equipments pour les personnes handicapees /Service d'etage/ Centre de remise en forme/ Bon Petit-dejeuner,7.57,,,
17,Dar Hkaiem,"4017 Hammam Sousse, Tunisie",Sousse,Connexion Wi-Fi gratuite/ Navette aeroport/ Chambres familiales/ Chambres non-fumeurs/ Petit-dejeuner/ exceptionnel,9.39,,,
18,Dar Zaghouan,"Rouaygueya, 1100 Zaghouan, Tunisie",Zaghouan,Piscine exterieure/ Spa et centre de bien-etre/ Chambres non-fumeurs/ Connexion Wi-Fi gratuite/ Parking gratuit/ Chambres familiales/ Bar/ Petit-dejeuner,8.38,,,
